name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
london,2018-01-01T00:00:00,7.6,7.6,3.6,75.82,0.34,,,,,51.3,0.2,254,997.4,0.6,38.1,,,0,,Rain,rain,"03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T01:00:00,7.5,3.6,3.6,76.34,,,,,,,27.1,254,998.4,0.3,31.5,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T02:00:00,6.6,2.9,3.1,78.37,,,,,,,22.8,250,999.6,0.3,31.9,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T03:00:00,6.5,2.8,2.6,76.16,,,,,,,22.3,244,999.6,0.3,38.9,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T04:00:00,6.1,2.3,2.8,79.41,,,,,,,21.6,233,999.6,0.4,36.3,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T05:00:00,6.1,2.9,2.6,78.3,,,,,,,16.7,228,999.5,0.2,34.5,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T06:00:00,6.1,2.7,2.6,78.31,4.4,,,,,,18.3,224,998.9,0.2,22.3,,,0,,Rain,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T07:00:00,6.1,3,2.8,79.44,,,,,,,16.4,210,998.5,0.4,18.7,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T08:00:00,6.1,3.6,2.9,79.44,,,,,,,12.3,211,997.6,0.5,16.8,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T09:00:00,6.1,3.9,3.1,81.13,,,,,,,10.5,192,996.7,0.4,16.4,,,0,,Clear,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T10:00:00,7,5.2,3.6,79.03,,,,,,,9.6,189,996,0.4,14.3,,,0,,Clear,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T11:00:00,7.5,5.8,4.4,80.23,,,,,,,9.4,180,995.5,0.6,15.2,,,0,,Clear,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T12:00:00,7.8,7.8,5.3,84.24,1.18,,,,,,0.1,232,995.4,0.5,15.2,,,0,,Rain,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T13:00:00,8,5.1,5.3,83.11,,,,,,,18.4,256,995.7,0.6,17,,,0,,Clear,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T14:00:00,8.1,5.7,4.2,75.97,,,,,,,14.4,282,995.8,0.6,27.7,,,0,,Clear,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T15:00:00,7.6,4.4,4,77.99,,,,,,,20.2,286,997.1,0.6,35.4,,,0,,Clear,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T16:00:00,7.1,4,3.5,77.9,,,,,,,18.5,285,998.2,0.2,35.3,,,0,,Clear,clear-day,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T17:00:00,7.1,3.6,3.6,78.45,,,,,,,22,268,999.4,0.4,32.6,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T18:00:00,7,3.8,3.3,77.34,0.3,,,,,,18.8,265,1000.5,0.2,29,,,0,,Rain,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T19:00:00,7.6,3.9,3,72.66,,,,,,,25,270,1001.8,0.3,31.5,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T20:00:00,7.6,3.8,2.3,69.16,,,,,,,26.7,274,1003.3,0.3,33.2,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T21:00:00,8.1,4.4,2.6,68.28,,,,,,53.6,26.9,284,1004.8,0.4,33.4,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T22:00:00,7.6,3.6,2.3,69.16,,,,,,50,28.9,284,1006.3,0.5,35,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-01T23:00:00,7.5,3.7,2.1,68.66,,,,,,50,26.1,283,1007.5,0,35.4,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-02T00:00:00,6.8,6.8,1.8,70.5,,,,,,,0.1,273,1009.1,0,30.4,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-02T01:00:00,6.1,2.4,2,75.03,,,,,,,21,275,1009.9,0,30,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-02T02:00:00,6,3.1,2.1,76.11,,,,,,,14.8,261,1010.6,0,26.6,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-02T03:00:00,5.5,2.3,2.1,78.78,,,,,,,15.8,251,1011,0,26.6,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-02T04:00:00,5.1,2.2,1.8,79.27,,,,,,,13.7,265,1011.5,0.1,19.9,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-02T05:00:00,5,2.3,1.8,79.82,,,,,,,12.2,250,1011.5,0.3,17.9,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-02T06:00:00,4.5,1.9,1.8,82.64,,,,,,,11.2,253,1012.1,0.4,16.6,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-02T07:00:00,4.6,2.8,2,83.25,,,,,,,7.8,212,1011.8,0.5,15.4,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-01-02T08:00:00,5.5,3.3,2.3,79.93,,,,,,,10.1,179,1011,0.5,15,,,0,,Clear,clear-night,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
