congestion;hour;day_nb;day;year
0,14;0;1;Sunday;2021
0,1;1;1;Sunday;2021
0,07;2;1;Sunday;2021
0,06;3;1;Sunday;2021
0,02;4;1;Sunday;2021
0;5;1;Sunday;2021
0;6;1;Sunday;2021
0,02;7;1;Sunday;2021
0,05;8;1;Sunday;2021
0,11;9;1;Sunday;2021
0,18;10;1;Sunday;2021
0,27;11;1;Sunday;2021
0,35;12;1;Sunday;2021
0,36;13;1;Sunday;2021
0,33;14;1;Sunday;2021
0,3;15;1;Sunday;2021
0,28;16;1;Sunday;2021
0,28;17;1;Sunday;2021
0,27;18;1;Sunday;2021
0,23;19;1;Sunday;2021
0,19;20;1;Sunday;2021
0,14;21;1;Sunday;2021
0,12;22;1;Sunday;2021
0,1;23;1;Sunday;2021
0,07;0;2;Monday;2021
0,03;1;2;Monday;2021
0,01;2;2;Monday;2021
0;3;2;Monday;2021
0;4;2;Monday;2021
0,01;5;2;Monday;2021
0,16;6;2;Monday;2021
0,4;7;2;Monday;2021
0,48;8;2;Monday;2021
0,34;9;2;Monday;2021
0,3;10;2;Monday;2021
0,32;11;2;Monday;2021
0,34;12;2;Monday;2021
0,34;13;2;Monday;2021
0,36;14;2;Monday;2021
0,43;15;2;Monday;2021
0,44;16;2;Monday;2021
0,45;17;2;Monday;2021
0,36;18;2;Monday;2021
0,24;19;2;Monday;2021
0,17;20;2;Monday;2021
0,13;21;2;Monday;2021
0,11;22;2;Monday;2021
0,08;23;2;Monday;2021
0,05;0;3;Tuesday;2021
0,02;1;3;Tuesday;2021
0,01;2;3;Tuesday;2021
0;3;3;Tuesday;2021
0;4;3;Tuesday;2021
0,01;5;3;Tuesday;2021
0,17;6;3;Tuesday;2021
0,43;7;3;Tuesday;2021
0,54;8;3;Tuesday;2021
0,39;9;3;Tuesday;2021
0,32;10;3;Tuesday;2021
0,33;11;3;Tuesday;2021
0,35;12;3;Tuesday;2021
0,35;13;3;Tuesday;2021
0,37;14;3;Tuesday;2021
0,45;15;3;Tuesday;2021
0,49;16;3;Tuesday;2021
0,5;17;3;Tuesday;2021
0,4;18;3;Tuesday;2021
0,26;19;3;Tuesday;2021
0,18;20;3;Tuesday;2021
0,14;21;3;Tuesday;2021
0,13;22;3;Tuesday;2021
0,1;23;3;Tuesday;2021
0,06;0;4;Wednesday;2021
0,03;1;4;Wednesday;2021
0,01;2;4;Wednesday;2021
0;3;4;Wednesday;2021
0;4;4;Wednesday;2021
0,01;5;4;Wednesday;2021
0,17;6;4;Wednesday;2021
0,42;7;4;Wednesday;2021
0,53;8;4;Wednesday;2021
0,38;9;4;Wednesday;2021
0,33;10;4;Wednesday;2021
0,34;11;4;Wednesday;2021
0,36;12;4;Wednesday;2021
0,36;13;4;Wednesday;2021
0,38;14;4;Wednesday;2021
0,47;15;4;Wednesday;2021
0,51;16;4;Wednesday;2021
0,53;17;4;Wednesday;2021
0,44;18;4;Wednesday;2021
0,29;19;4;Wednesday;2021
0,19;20;4;Wednesday;2021
0,15;21;4;Wednesday;2021
0,14;22;4;Wednesday;2021
0,11;23;4;Wednesday;2021
0,07;0;5;Thursday;2021
0,03;1;5;Thursday;2021
0,02;2;5;Thursday;2021
0,01;3;5;Thursday;2021
0;4;5;Thursday;2021
0,01;5;5;Thursday;2021
0,16;6;5;Thursday;2021
0,4;7;5;Thursday;2021
0,5;8;5;Thursday;2021
0,37;9;5;Thursday;2021
0,33;10;5;Thursday;2021
0,35;11;5;Thursday;2021
0,37;12;5;Thursday;2021
0,37;13;5;Thursday;2021
0,4;14;5;Thursday;2021
0,49;15;5;Thursday;2021
0,53;16;5;Thursday;2021
0,55;17;5;Thursday;2021
0,46;18;5;Thursday;2021
0,31;19;5;Thursday;2021
0,21;20;5;Thursday;2021
0,16;21;5;Thursday;2021
0,16;22;5;Thursday;2021
0,13;23;5;Thursday;2021
0,08;0;6;Friday;2021
0,05;1;6;Friday;2021
0,03;2;6;Friday;2021
0,01;3;6;Friday;2021
0;4;6;Friday;2021
0,01;5;6;Friday;2021
0,14;6;6;Friday;2021
0,34;7;6;Friday;2021
0,43;8;6;Friday;2021
0,34;9;6;Friday;2021
0,34;10;6;Friday;2021
0,4;11;6;Friday;2021
0,45;12;6;Friday;2021
0,46;13;6;Friday;2021
0,51;14;6;Friday;2021
0,62;15;6;Friday;2021
0,64;16;6;Friday;2021
0,62;17;6;Friday;2021
0,53;18;6;Friday;2021
0,38;19;6;Friday;2021
0,26;20;6;Friday;2021
0,19;21;6;Friday;2021
0,18;22;6;Friday;2021
0,16;23;6;Friday;2021
0,12;0;7;Saturday;2021
0,09;1;7;Saturday;2021
0,06;2;7;Saturday;2021
0,04;3;7;Saturday;2021
0,02;4;7;Saturday;2021
0;5;7;Saturday;2021
0,02;6;7;Saturday;2021
0,07;7;7;Saturday;2021
0,12;8;7;Saturday;2021
0,21;9;7;Saturday;2021
0,31;10;7;Saturday;2021
0,4;11;7;Saturday;2021
0,47;12;7;Saturday;2021
0,48;13;7;Saturday;2021
0,44;14;7;Saturday;2021
0,39;15;7;Saturday;2021
0,36;16;7;Saturday;2021
0,34;17;7;Saturday;2021
0,32;18;7;Saturday;2021
0,28;19;7;Saturday;2021
0,23;20;7;Saturday;2021
0,19;21;7;Saturday;2021
0,18;22;7;Saturday;2021
0,17;23;7;Saturday;2021
0,11;0;1;Sunday;2020
0,08;1;1;Sunday;2020
0,05;2;1;Sunday;2020
0,05;3;1;Sunday;2020
0,02;4;1;Sunday;2020
0;5;1;Sunday;2020
0,01;6;1;Sunday;2020
0,03;7;1;Sunday;2020
0,05;8;1;Sunday;2020
0,1;9;1;Sunday;2020
0,16;10;1;Sunday;2020
0,22;11;1;Sunday;2020
0,28;12;1;Sunday;2020
0,3;13;1;Sunday;2020
0,29;14;1;Sunday;2020
0,26;15;1;Sunday;2020
0,25;16;1;Sunday;2020
0,25;17;1;Sunday;2020
0,22;18;1;Sunday;2020
0,18;19;1;Sunday;2020
0,14;20;1;Sunday;2020
0,11;21;1;Sunday;2020
0,09;22;1;Sunday;2020
0,06;23;1;Sunday;2020
0,03;0;2;Monday;2020
0,01;1;2;Monday;2020
0;2;2;Monday;2020
0;3;2;Monday;2020
0;4;2;Monday;2020
0,01;5;2;Monday;2020
0,18;6;2;Monday;2020
0,4;7;2;Monday;2020
0,48;8;2;Monday;2020
0,33;9;2;Monday;2020
0,27;10;2;Monday;2020
0,28;11;2;Monday;2020
0,29;12;2;Monday;2020
0,3;13;2;Monday;2020
0,32;14;2;Monday;2020
0,4;15;2;Monday;2020
0,43;16;2;Monday;2020
0,45;17;2;Monday;2020
0,36;18;2;Monday;2020
